ID,LABEL,alternative term,Type,SubClass Of,Equivalent Class,occurs in,located in,participates in,has part,only in taxon,realizes,part of,has role,has host,has vector,definition,definition source,example of usage,term editor,term tracker item,ontology term requester,comment,editor note
BFO:0000001,entity,,Class,,,,,,,,,,,,,,,,,,,,
BFO:0000002,continuant,,Class,,,,,,,,,,,,,,,,,,,,
BFO:0000003,occurrent,,Class,,,,,,,,,,,,,,,,,,,,
BFO:0000004,independent continuant,,Class,,,,,,,,,,,,,,,,,,,,
BFO:0000015,process,,Class,,,,,,,,,,,,,,,,,,,,
BFO:0000020,specifically dependent continuant,,Class,,,,,,,,,,,,,,,,,,,,
BFO:0000023,role,,Class,,,,,,,,,,,,,,,,,,,,
BFO:0000040,material entity,,Class,,,,,,,,,,,,,,,,,,,,
BFO:0000050,part of,,Object property,,,,,,,,,,,,,,,,,,,,
BFO:0000051,has part,,Object property,,,,,,,,,,,,,,,,,,,,
BFO:0000055,realizes,,Object property,,,,,,,,,,,,,,,,,,,,
BFO:0000066,occurs in,,Object property,,,,,,,,,,,,,,,,,,,,
BTO:0000597,hepatopancreas,,Class,,,,,,,,,,,,,,,,,,,,
BTO:0001117,proboscis,,Class,,,,,,,,,,,,,,,,,,,,
CARO:0000006,material anatomical entity,,Class,,,,,,,,,,,,,,,,,,,,
CARO:0000013,cell,,Class,,,,,,,,,,,,,,,,,,,,
CL:0000182,hepatocyte,,Class,,,,,,,,,,,,,,,,,,,,
CL:0000232,erythrocyte,,Class,,,,,,,,,,,,,,,,,,,,
CL:0000235,macrophage,,Class,,,,,,,,,,,,,,,,,,,,
GO:0051301,cell division,,Class,,,,,,,,,,,,,,,,,,,,
IAO:0000111,editor preferred term,,Annotation property,,,,,,,,,,,,,,,,,,,,
IAO:0000112,example of usage,,Annotation property,,,,,,,,,,,,,,,,,,,,
IAO:0000115,definition,,Annotation property,,,,,,,,,,,,,,,,,,,,
IAO:0000116,editor note,,Annotation property,,,,,,,,,,,,,,,,,,,,
IAO:0000117,term editor,,Annotation property,,,,,,,,,,,,,,,,,,,,
IAO:0000118,alternative term,,Annotation property,,,,,,,,,,,,,,,,,,,,
IAO:0000119,definition source,,Annotation property,,,,,,,,,,,,,,,,,,,,
IAO:0000120,metadata complete,,Named individual,,,,,,,,,,,,,,,,,,,,
IAO:0000121,organizational term,,Named individual,,,,,,,,,,,,,,,,,,,,
IAO:0000122,ready for release,,Named individual,,,,,,,,,,,,,,,,,,,,
IAO:0000123,metadata incomplete,,Named individual,,,,,,,,,,,,,,,,,,,,
IAO:0000124,uncurated,,Named individual,,,,,,,,,,,,,,,,,,,,
