Ontology ID	Label	logical type	parent class	part of
ID		CLASS_TYPE	C %	C 'part of' some % SPLIT=|
OPL:0000004	Triatominae hindgut	equivalent	hindgut	Triatominae
OPL:0000005	Homo sapiens liver	equivalent	liver	Homo sapiens
OPL:0000015	Phlebotominae proboscis	equivalent	proboscis	Phlebotominae
OPL:0000019	Homo sapiens cerebrospinal fluid	equivalent	cerebrospinal fluid	Homo sapiens
OPL:0000027	Homo sapiens skin	equivalent	skin of body	Homo sapiens
OPL:0000032	Anopheles midgut	equivalent	midgut	Anopheles <genus>
OPL:0000040	Homo sapiens hepatocyte	equivalent	hepatocyte	Homo sapiens
OPL:0000047	Homo sapiens mesenteric vein	equivalent	mesenteric vein	Homo sapiens
OPL:0000083	Bulinus hepatopancreas	equivalent	hepatopancreas	Bulinus
OPL:0000088	Triatominae midgut	equivalent	midgut	Triatominae
OPL:0000096	Homo sapiens erythrocyte	equivalent	erythrocyte	Homo sapiens
OPL:0000097	Homo sapiens vesical venus plexus	equivalent	vesical venus plexus	Homo sapiens
OPL:0000104	Biomphalaria hepatopancreas	equivalent	hepatopancreas	Biomphalaria
OPL:0000117	Homo sapiens blood	equivalent	blood	Homo sapiens
OPL:0000121	Anopheles salivary gland	equivalent	saliva-secreting gland	Anopheles <genus>
OPL:0000122	Homo sapiens macrophage	equivalent	macrophage	Homo sapiens
OPL:0000133	Homo sapiens lung	equivalent	lung	Homo sapiens
OPL:0000134	Oncomelania hepatopancreas	equivalent	hepatopancreas	Oncomelania
OPL:0000141	Homo sapiens intestine	equivalent	intestine	Homo sapiens
OPL:0000154	Glossina salivary gland	equivalent	saliva-secreting gland	Glossina <genus>
OPL:0000176	Homo sapiens ureter	equivalent	ureter	Homo sapiens
OPL:0000194	Phlebotominae midgut	equivalent	midgut	Phlebotominae
OPL:0000213	vesical venus plexus	subclass	material anatomical entity	
OPL:0000215	Glossina midgut	equivalent	midgut	Glossina <genus>
OPL:0000219	Homo sapiens urinary bladder	equivalent	urinary bladder	Homo sapiens
OPL:0000310	Vertebrate blood	equivalent	blood	Vertebrata <vertebrates>
OPL:0000311	Vertebrate erythrocyte	equivalent	erythrocyte	Vertebrata <vertebrates>
OPL:0000312	Vertebrate hepatocyte	equivalent	hepatocyte	Vertebrata <vertebrates>
OPL:0000313	Mammalia cerebrospinal fluid	equivalent	cerebrospinal fluid	Mammalia
OPL:0000314	Mammalia skin	equivalent	skin of body	Mammalia
OPL:0000315	Mammalia liver	equivalent	liver	Mammalia
OPL:0000316	Mammalia lung	equivalent	lung	Mammalia
OPL:0000317	Mammalia mesenteric vein	equivalent	mesenteric vein	Mammalia
OPL:0000318	Mammalia intestine	equivalent	intestine	Mammalia
OPL:0000320	Mammalia blood	equivalent	blood	Mammalia
OPL:0000321	Mammalia macrophage	equivalent	macrophage	Mammalia
