Ontology ID	label	logical type	parent class	in taxon	occurs in	has part	realizes
ID		CLASS_TYPE	C %	C 'in taxon' some % SPLIT=|	C 'occurs in' some % SPLIT=|	C 'has part' some % SPLIT=|	C realizes some % SPLIT=|
OPL:0000323	Trypanosomatida procyclic stage	equivalent	parasite lifecycle stage	Trypanosomatidae	('Phlebotominae midgut' or 'Glossina midgut')	cell division	
OPL:0000044	procyclic promastigote stage	subclass	promastigote stage		('Phlebotominae midgut' or 'Glossina midgut')	cell division	
OPL:0000076	procyclic trypomastigote stage	subclass	trypomastigote stage		('Phlebotominae midgut' or 'Glossina midgut')	cell division	
OPL:0000287	Plasmodium macrogamete stage	equivalent	macrogamete stage	Plasmodium	Anopheles midgut		
OPL:0000288	Plasmodium microgamete stage	equivalent	microgamete stage	Plasmodium	Anopheles midgut		
OPL:0000295	Plasmodium oocyst stage	equivalent	oocyst stage	Plasmodium	Anopheles midgut		
OPL:0000296	Plasmodium ookinete stage	equivalent	ookinete stage	Plasmodium	Anopheles midgut		
OPL:0000307	Plasmodium zygote stage	equivalent	zygote stage	Plasmodium	Anopheles midgut		
OPL:0000007	Plasmodium falciparum exflagellated microgametocyte stage	equivalent	exflagellated microgametocyte stage	Plasmodium falciparum	Anopheles midgut		
OPL:0000075	Plasmodium falciparum macrogamete stage	equivalent	macrogamete stage	Plasmodium falciparum	Anopheles midgut		
OPL:0000113	Plasmodium falciparum oocyst stage	equivalent	oocyst stage	Plasmodium falciparum	Anopheles midgut		
OPL:0000170	Plasmodium falciparum microgamete stage	equivalent	microgamete stage	Plasmodium falciparum	Anopheles midgut		
OPL:0000187	Plasmodium falciparum ookinete stage	equivalent	ookinete stage	Plasmodium falciparum	Anopheles midgut		
OPL:0000199	Plasmodium falciparum zygote stage	equivalent	zygote stage	Plasmodium falciparum	Anopheles midgut		
OPL:0000262	Plasmodium falciparum gamete stage	equivalent	gamete stage	Plasmodium falciparum	Anopheles midgut		
OPL:0000010	Plasmodium falciparum microgametocyte stage	equivalent	microgametocyte stage	Plasmodium falciparum	Anopheles midgut|Homo sapiens erythrocyte		
OPL:0000068	Plasmodium falciparum macrogametocyte stage	equivalent	macrogametocyte stage	Plasmodium falciparum	Anopheles midgut|Homo sapiens erythrocyte		
OPL:0000192	Plasmodium falciparum gametocyte stage	equivalent	gametocyte stage	Plasmodium falciparum	Anopheles midgut|Homo sapiens erythrocyte		
OPL:0000290	Plasmodium macrogametocyte stage	equivalent	macrogametocyte stage	Plasmodium	Anopheles midgut|Vertebrate erythrocyte		
OPL:0000291	Plasmodium microgametocyte stage	equivalent	microgametocyte stage	Plasmodium	Anopheles midgut|Vertebrate erythrocyte		
OPL:0000115	Plasmodium falciparum sporozoite stage	equivalent	sporozoite stage	Plasmodium falciparum	Anopheles salivary gland|Homo sapiens blood|Homo sapiens hepatocyte		
OPL:0000300	Plasmodium sporozoite stage	equivalent	sporozoite stage	Plasmodium	Anopheles salivary gland|Vertebrate blood|Vertebrate hepatocyte		
OPL:0000220	Schistosoma mansoni daughter sporocyst stage	equivalent	daughter sporocyst stage	Schistosoma mansoni	Biomphalaria hepatopancreas		
OPL:0000163	Schistosoma haematobium daughter sporocyst stage	equivalent	daughter sporocyst stage	Schistosoma haematobium	Bulinus hepatopancreas		
OPL:0000263	asexual lifecycle in host red blood cell stage	subclass	parasite lifecycle stage	parasite organism	erythrocyte		
OPL:0000243	erythrocytic trophozoite stage	subclass	trophozoite stage		erythrocyte		
OPL:0000081	Trypanosoma brucei procyclic trypomastigote stage	equivalent	procyclic promastigote stage	Trypanosoma brucei	Glossina midgut		
OPL:0000216	Trypanosoma brucei epimastigote stage	equivalent	epimastigote stage	Trypanosoma brucei	Glossina salivary gland		
OPL:0000056	Trypanosoma brucei metacyclic trypomastigote stage	equivalent	metacyclic trypomastigote stage	Trypanosoma brucei	Glossina salivary gland|Mammalia blood		
OPL:0000247	hepatic merozoite stage	subclass	merozoite stage		hepatocyte		
OPL:0000261	hepatic trophozoite stage	subclass	trophozoite stage		hepatocyte		
OPL:0000035	Plasmodium falciparum erythrocytic schizont stage	equivalent	erythrocytic schizont stage	Plasmodium falciparum	Homo sapiens erythrocyte		
OPL:0000103	Plasmodium falciparum merozoite stage	equivalent	merozoite stage	Plasmodium falciparum	Homo sapiens erythrocyte		
OPL:0000207	Plasmodium falciparum erythrocytic trophozoite stage	equivalent	erythrocytic trophozoite stage	Plasmodium falciparum	Homo sapiens erythrocyte		
OPL:0000158	Plasmodium falciparum schizont stage	equivalent	schizont stage	Plasmodium falciparum	Homo sapiens erythrocyte|Homo sapiens hepatocyte		
OPL:0000251	Plasmodium falciparum trophozoite stage	equivalent	trophozoite stage	Plasmodium falciparum	Homo sapiens erythrocyte|Homo sapiens hepatocyte		
OPL:0000093	Plasmodium falciparum hepatic schizont stage	equivalent	hepatic schizont stage	Plasmodium falciparum	Homo sapiens hepatocyte		
OPL:0000250	Plasmodium falciparum hepatic trophozoite stage	equivalent	hepatic trophozoite stage	Plasmodium falciparum	Homo sapiens hepatocyte		
OPL:0000139	Schistosoma japonicum 7 week worm stage	equivalent	7 week parasitic worm stage	Schistosoma japonicum	Homo sapiens intestine|Homo sapiens mesenteric vein		
OPL:0000106	Schistosoma japonicum 3 week worm stage	equivalent	3 week parasitic worm stage	Schistosoma japonicum	Homo sapiens mesenteric vein		
OPL:0000202	Schistosoma haematobium 3 week worm stage	equivalent	3 week parasitic worm stage	Schistosoma haematobium	Homo sapiens urinary bladder		
OPL:0000111	Schistosoma haematobium 7 week worm stage	equivalent	7 week parasitic worm stage	Schistosoma haematobium	Homo sapiens vesical venus plexus		
OPL:0000080	parasite lifecycle in host liver stage	subclass	parasite lifecycle stage	parasite organism	liver		
OPL:0000175	Trypanosoma brucei trypomastigote stage	equivalent	trypomastigote stage	Trypanosoma brucei	Mammalia blood|Mammalia cerebrospinal fluid		
OPL:0000131	Trypanosoma cruzi metacyclic trypomastigote stage	equivalent	metacyclic trypomastigote stage	Trypanosoma cruzi	Mammalia blood|Mammalia macrophage		
OPL:0000169	Trypanosoma cruzi trypomastigote stage	equivalent	trypomastigote stage	Trypanosoma cruzi	Mammalia blood|Mammalia macrophage|Triatominae hindgut		
OPL:0000217	Schistosoma mansoni 7 week worm stage	equivalent	7 week parasitic worm stage	Schistosoma mansoni	Mammalia intestine|Mammalia mesenteric vein		
OPL:0000062	Schistosoma haematobium 3 day schistosomulum stage	equivalent	3 day schistosomulum stage	Schistosoma haematobium	Mammalia liver		
OPL:0000124	Schistosoma haematobium 6 day schistosomulum stage	equivalent	6 day schistosomulum stage	Schistosoma haematobium	Mammalia liver		
OPL:0000046	Schistosoma japonicum 6 day schistosomulum stage	equivalent	Schistosoma japonicum schistosomulum stage	Schistosoma japonicum	Mammalia lung		
OPL:0000159	Schistosoma japonicum 3 day schistosomulum stage	equivalent	3 day schistosomulum stage	Schistosoma japonicum	Mammalia lung		
OPL:0000014	Schistosoma mansoni 3 day schistosomulum stage	equivalent	3 day schistosomulum stage	Schistosoma mansoni	Mammalia lung		
OPL:0000045	Schistosoma mansoni 6 day schistosomulum stage	equivalent	6 day schistosomulum stage	Schistosoma mansoni	Mammalia lung		
OPL:0000157	Leishmania major amastigote stage	equivalent	amastigote stage	Leishmania major	Mammalia macrophage		
OPL:0000064	Trypanosoma cruzi amastigote stage	equivalent	amastigote stage	Trypanosoma cruzi	Mammalia macrophage		
OPL:0000189	Leishmania major promastigote stage	equivalent	promastigote stage	Leishmania major	Mammalia macrophage|Phlebotominae midgut|Phlebotominae proboscis		
OPL:0000102	Leishmania major metacyclic promastigote stage	equivalent	metacyclic promastigote stage	Leishmania major	Mammalia macrophage|Phlebotominae proboscis		
OPL:0000107	Schistosoma mansoni 3 week worm stage	equivalent	3 week parasitic worm stage	Schistosoma mansoni	Mammalia mesenteric vein		
OPL:0000074	Schistosoma haematobium 3 hour schistosomulum stage	equivalent	3 hour schistosomulum stage	Schistosoma haematobium	Mammalia skin		
OPL:0000129	Schistosoma haematobium 24 hour schistosomulum stage	equivalent	24 hour schistosomulum stage	Schistosoma haematobium	Mammalia skin		
OPL:0000193	Schistosoma japonicum 3 hour schistosomulum stage	equivalent	3 hour schistosomulum stage	Schistosoma japonicum	Mammalia skin		
OPL:0000195	Schistosoma japonicum 24 hour schistosomulum stage	equivalent	24 hour schistosomulum stage	Schistosoma japonicum	Mammalia skin		
