Ontology ID	label	parent class	occurs in
ID			C 'occurs in' some % SPLIT=|
OPL:0000323	Trypanosomatida procyclic stage	parasite lifecycle stage	('Phlebotominae midgut' or 'Glossina midgut')
OPL:0000044	procyclic promastigote stage	promastigote stage	('Phlebotominae midgut' or 'Glossina midgut')
OPL:0000076	procyclic trypomastigote stage	trypomastigote stage	('Phlebotominae midgut' or 'Glossina midgut')
OPL:0000287	Plasmodium macrogamete stage	macrogamete stage	Anopheles midgut
OPL:0000288	Plasmodium microgamete stage	microgamete stage	Anopheles midgut
OPL:0000295	Plasmodium oocyst stage	oocyst stage	Anopheles midgut
OPL:0000296	Plasmodium ookinete stage	ookinete stage	Anopheles midgut
OPL:0000307	Plasmodium zygote stage	zygote stage	Anopheles midgut
OPL:0000007	Plasmodium falciparum exflagellated microgametocyte stage	exflagellated microgametocyte stage	Anopheles midgut
OPL:0000075	Plasmodium falciparum macrogamete stage	macrogamete stage	Anopheles midgut
OPL:0000113	Plasmodium falciparum oocyst stage	oocyst stage	Anopheles midgut
OPL:0000170	Plasmodium falciparum microgamete stage	microgamete stage	Anopheles midgut
OPL:0000187	Plasmodium falciparum ookinete stage	ookinete stage	Anopheles midgut
OPL:0000199	Plasmodium falciparum zygote stage	zygote stage	Anopheles midgut
OPL:0000262	Plasmodium falciparum gamete stage	gamete stage	Anopheles midgut
OPL:0000010	Plasmodium falciparum microgametocyte stage	microgametocyte stage	Anopheles midgut|Homo sapiens erythrocyte
OPL:0000068	Plasmodium falciparum macrogametocyte stage	macrogametocyte stage	Anopheles midgut|Homo sapiens erythrocyte
OPL:0000192	Plasmodium falciparum gametocyte stage	gametocyte stage	Anopheles midgut|Homo sapiens erythrocyte
OPL:0000290	Plasmodium macrogametocyte stage	macrogametocyte stage	Anopheles midgut|Vertebrate erythrocyte
OPL:0000291	Plasmodium microgametocyte stage	microgametocyte stage	Anopheles midgut|Vertebrate erythrocyte
OPL:0000115	Plasmodium falciparum sporozoite stage	sporozoite stage	Anopheles salivary gland|Homo sapiens blood|Homo sapiens hepatocyte
OPL:0000300	Plasmodium sporozoite stage	sporozoite stage	Anopheles salivary gland|Vertebrate blood|Vertebrate hepatocyte
OPL:0000220	Schistosoma mansoni daughter sporocyst stage	daughter sporocyst stage	Biomphalaria hepatopancreas
OPL:0000163	Schistosoma haematobium daughter sporocyst stage	daughter sporocyst stage	Bulinus hepatopancreas
OPL:0000263	asexual lifecycle in host red blood cell stage	parasite lifecycle stage	erythrocyte
OPL:0000243	erythrocytic trophozoite stage	trophozoite stage	erythrocyte
OPL:0000081	Trypanosoma brucei procyclic trypomastigote stage	procyclic promastigote stage	Glossina midgut
OPL:0000216	Trypanosoma brucei epimastigote stage	epimastigote stage	Glossina salivary gland
