Ontology ID	label	logical type	parent class	located in	participates in	has role
ID		CLASS_TYPE	C %	C 'located in' some % SPLIT=|	C 'participates in' some % SPLIT=|	C 'has role' some % SPLIT=|
OPL:0000232	parasite organism	equivalent	organism			parasite role
OPL:0000271	Plasmodium erythrocytic merozoite	equivalent	Plasmodium		erythrocytic merozoite stage	
OPL:0000283	Plasmodium erythrocytic ring trophozoite	equivalent	Plasmodium		erythrocytic ring trophozoite stage	
OPL:0000276	Plasmodium erythrocytic schizont	equivalent	Plasmodium	Vertebrate erythrocyte	erythrocytic schizont stage	
OPL:0000282	Plasmodium erythrocytic trophozoite	equivalent	Plasmodium	Vertebrate erythrocyte	erythrocytic trophozoite stage	
OPL:0000264	Plasmodium gamete	equivalent	Plasmodium		gamete stage	
OPL:0000267	Plasmodium gametocyte	equivalent	Plasmodium		gametocyte stage	
OPL:0000272	Plasmodium hepatic merozoite	equivalent	Plasmodium		hepatic merozoite stage	
OPL:0000277	Plasmodium hepatic schizont	equivalent	Plasmodium	Vertebrate hepatocyte	hepatic schizont stage	
OPL:0000284	Plasmodium hepatic trophozoite	equivalent	Plasmodium	Vertebrate hepatocyte	hepatic trophozoite stage	
OPL:0000265	Plasmodium macrogamete	equivalent	Plasmodium	Anopheles midgut	macrogamete stage	
OPL:0000268	Plasmodium macrogametocyte	equivalent	Plasmodium	Anopheles midgut|Vertebrate erythrocyte	macrogametocyte stage	
OPL:0000270	Plasmodium merozoite	equivalent	Plasmodium		merozoite stage	
OPL:0000266	Plasmodium microgamete	equivalent	Plasmodium	Anopheles midgut	microgamete stage	
OPL:0000269	Plasmodium microgametocyte	equivalent	Plasmodium	Anopheles midgut|Vertebrate erythrocyte	microgametocyte stage	
OPL:0000273	Plasmodium oocyst	equivalent	Plasmodium	Anopheles midgut	oocyst stage	
OPL:0000279	Plasmodium oocyst-derived sporozoite	equivalent	Plasmodium		oocyst-derived sporozoite stage	
OPL:0000274	Plasmodium ookinete	equivalent	Plasmodium	Anopheles midgut	ookinete stage	
OPL:0000280	Plasmodium salivary gland-derived sporozoite	equivalent	Plasmodium		salivary gland-derived sporozoite stage	
OPL:0000275	Plasmodium schizont	equivalent	Plasmodium		schizont stage	
OPL:0000278	Plasmodium sporozoite	equivalent	Plasmodium	Anopheles salivary gland|Vertebrate blood|Vertebrate hepatocyte	sporozoite stage	
OPL:0000281	Plasmodium trophozoite	equivalent	Plasmodium	Vertebrate erythrocyte|Vertebrate hepatocyte	trophozoite stage	
OPL:0000285	Plasmodium zygote	equivalent	Plasmodium	Anopheles midgut	zygote stage	
