Ontology ID	label	parent class	located in
ID			C 'located in' some % SPLIT=|
OPL:0000232	parasite organism	organism	
OPL:0000271	Plasmodium erythrocytic merozoite	Plasmodium	
OPL:0000283	Plasmodium erythrocytic ring trophozoite	Plasmodium	
OPL:0000276	Plasmodium erythrocytic schizont	Plasmodium	Vertebrate erythrocyte
OPL:0000282	Plasmodium erythrocytic trophozoite	Plasmodium	Vertebrate erythrocyte
OPL:0000264	Plasmodium gamete	Plasmodium	
OPL:0000267	Plasmodium gametocyte	Plasmodium	
OPL:0000272	Plasmodium hepatic merozoite	Plasmodium	
OPL:0000277	Plasmodium hepatic schizont	Plasmodium	Vertebrate hepatocyte
OPL:0000284	Plasmodium hepatic trophozoite	Plasmodium	Vertebrate hepatocyte
OPL:0000265	Plasmodium macrogamete	Plasmodium	Anopheles midgut
OPL:0000268	Plasmodium macrogametocyte	Plasmodium	Anopheles midgut|Vertebrate erythrocyte
OPL:0000270	Plasmodium merozoite	Plasmodium	
OPL:0000266	Plasmodium microgamete	Plasmodium	Anopheles midgut
OPL:0000269	Plasmodium microgametocyte	Plasmodium	Anopheles midgut|Vertebrate erythrocyte
OPL:0000273	Plasmodium oocyst	Plasmodium	Anopheles midgut
OPL:0000279	Plasmodium oocyst-derived sporozoite	Plasmodium	
OPL:0000274	Plasmodium ookinete	Plasmodium	Anopheles midgut
OPL:0000280	Plasmodium salivary gland-derived sporozoite	Plasmodium	
OPL:0000275	Plasmodium schizont	Plasmodium	
OPL:0000278	Plasmodium sporozoite	Plasmodium	Anopheles salivary gland|Vertebrate blood|Vertebrate hepatocyte
OPL:0000281	Plasmodium trophozoite	Plasmodium	Vertebrate erythrocyte|Vertebrate hepatocyte
OPL:0000285	Plasmodium zygote	Plasmodium	Anopheles midgut
OPL:0000162	Plasmodium falciparum exflagellated microgametocyte	Plasmodium falciparum microgametocyte	Anopheles midgut
OPL:0000258	Plasmodium falciparum gamete	Plasmodium falciparum	Anopheles midgut
OPL:0000167	Plasmodium falciparum macrogamete	Plasmodium falciparum gamete	Anopheles midgut
OPL:0000174	Plasmodium falciparum microgamete	Plasmodium falciparum gamete	Anopheles midgut
OPL:0000138	Plasmodium falciparum oocyst	Plasmodium falciparum	Anopheles midgut
OPL:0000089	Plasmodium falciparum ookinete	Plasmodium falciparum	Anopheles midgut
OPL:0000161	Plasmodium falciparum zygote	Plasmodium falciparum	Anopheles midgut
OPL:0000249	Plasmodium falciparum gametocyte	Plasmodium falciparum	Anopheles midgut|Homo sapiens erythrocyte
OPL:0000206	Plasmodium falciparum macrogametocyte	Plasmodium falciparum gametocyte	Anopheles midgut|Homo sapiens erythrocyte
OPL:0000050	Plasmodium falciparum microgametocyte	Plasmodium falciparum gametocyte	Anopheles midgut|Homo sapiens erythrocyte
OPL:0000137	Plasmodium falciparum sporozoite	Plasmodium falciparum	Anopheles salivary gland|Homo sapiens blood|Homo sapiens hepatocyte
OPL:0000191	Schistosoma mansoni daughter sporocyst	Schistosoma mansoni sporocyst	Biomphalaria hepatopancreas
OPL:0000109	Schistosoma haematobium daughter sporocyst	Schistosoma haematobium sporocyst	Bulinus hepatopancreas
OPL:0000031	Trypanosoma brucei procyclic trypomastigote	Trypanosoma brucei trypomastigote	Glossina midgut
OPL:0000092	Trypanosoma brucei epimastigote	Trypanosoma brucei	Glossina salivary gland
OPL:0000034	Trypanosoma brucei metacyclic trypomastigote	Trypanosoma brucei trypomastigote	Glossina salivary gland|Mammalia blood
OPL:0000110	Plasmodium falciparum erythrocytic schizont	Plasmodium falciparum schizont	Homo sapiens erythrocyte
OPL:0000244	Plasmodium falciparum erythrocytic trophozoite	Plasmodium falciparum trophozoite	Homo sapiens erythrocyte
OPL:0000130	Plasmodium falciparum merozoite	Plasmodium falciparum	Homo sapiens erythrocyte
OPL:0000060	Plasmodium falciparum schizont	Plasmodium falciparum	Homo sapiens erythrocyte|Homo sapiens hepatocyte
OPL:0000146	Plasmodium falciparum trophozoite	Plasmodium falciparum	Homo sapiens erythrocyte|Homo sapiens hepatocyte
OPL:0000190	Plasmodium falciparum hepatic schizont	Plasmodium falciparum schizont	Homo sapiens hepatocyte
OPL:0000257	Plasmodium falciparum hepatic trophozoite	Plasmodium falciparum trophozoite	Homo sapiens hepatocyte
OPL:0000051	Schistosoma japonicum 7 week worm	Schistosoma japonicum worm	Homo sapiens intestine|Homo sapiens mesenteric vein
OPL:0000053	Schistosoma japonicum 3 week worm	Schistosoma japonicum worm	Homo sapiens mesenteric vein
OPL:0000099	Schistosoma haematobium 3 week worm	Schistosoma haematobium worm	Homo sapiens urinary bladder
OPL:0000087	Schistosoma haematobium 7 week worm	Schistosoma haematobium worm	Homo sapiens vesical venus plexus
OPL:0000182	Trypanosoma brucei trypomastigote	Trypanosoma brucei	Mammalia blood|Mammalia cerebrospinal fluid
OPL:0000116	Trypanosoma cruzi metacyclic trypomastigote	Trypanosoma cruzi trypomastigote	Mammalia blood|Mammalia macrophage
OPL:0000164	Trypanosoma cruzi trypomastigote	Trypanosoma cruzi	Mammalia blood|Mammalia macrophage|Triatominae hindgut
OPL:0000136	Schistosoma mansoni 7 week worm	Schistosoma mansoni worm	Mammalia intestine|Mammalia mesenteric vein
OPL:0000205	Schistosoma haematobium 3 day schistosomulum	Schistosoma haematobium schistosomulum	Mammalia liver
OPL:0000201	Schistosoma haematobium 6 day schistosomulum	Schistosoma haematobium schistosomulum	Mammalia liver
OPL:0000020	Schistosoma japonicum 3 day schistosomulum	Schistosoma japonicum schistosomulum	Mammalia lung
OPL:0000039	Schistosoma japonicum 6 day schistosomulum	Schistosoma japonicum schistosomulum	Mammalia lung
OPL:0000123	Schistosoma mansoni 3 day schistosomulum	Schistosoma mansoni schistosomulum	Mammalia lung
OPL:0000218	Schistosoma mansoni 6 day schistosomulum	Schistosoma mansoni schistosomulum	Mammalia lung
OPL:0000204	Leishmania major amastigote	Leishmania major	Mammalia macrophage
OPL:0000061	Trypanosoma cruzi amastigote	Trypanosoma cruzi	Mammalia macrophage
OPL:0000016	Leishmania major promastigote	Leishmania major	Mammalia macrophage|Phlebotominae midgut|Phlebotominae proboscis
OPL:0000002	Leishmania major metacyclic promastigote	Leishmania major promastigote	Mammalia macrophage|Phlebotominae proboscis
OPL:0000090	Schistosoma mansoni 3 week worm	Schistosoma mansoni worm	Mammalia mesenteric vein
OPL:0000029	Schistosoma haematobium 24 hour schistosomulum	Schistosoma haematobium schistosomulum	Mammalia skin
OPL:0000011	Schistosoma haematobium 3 hour schistosomulum	Schistosoma haematobium schistosomulum	Mammalia skin
OPL:0000132	Schistosoma japonicum 24 hour schistosomulum	Schistosoma japonicum schistosomulum	Mammalia skin
OPL:0000021	Schistosoma japonicum 3 hour schistosomulum	Schistosoma japonicum schistosomulum	Mammalia skin
OPL:0000025	Schistosoma mansoni 24 hour schistosomulum	Schistosoma mansoni schistosomulum	Mammalia skin
OPL:0000067	Schistosoma mansoni 3 hour schistosomulum	Schistosoma mansoni schistosomulum	Mammalia skin
OPL:0000030	Schistosoma japonicum daughter sporocyst	Schistosoma japonicum sporocyst	Oncomelania hepatopancreas
OPL:0000160	Leishmania major procyclic promastigote	Leishmania major promastigote	Phlebotominae midgut
OPL:0000049	Trypanosoma cruzi epimastigote	Trypanosoma cruzi	Triatominae midgut
OPL:0000242	Plasmodium falciparum erythrocytic merozoite	Plasmodium falciparum merozoite	
OPL:0000222	Plasmodium falciparum erythrocytic ring trophozoite	Plasmodium falciparum erythrocytic trophozoite	
OPL:0000241	Plasmodium falciparum hepatic merozoite	Plasmodium falciparum merozoite	
OPL:0000259	Plasmodium falciparum oocyst-derived sporozoite	Plasmodium falciparum sporozoite	
OPL:0000255	Plasmodium falciparum salivary gland-derived sporozoite	Plasmodium falciparum sporozoite	
OPL:0000235	Schistosoma haematobium adult female worm	Schistosoma haematobium adult worm	
OPL:0000198	Schistosoma haematobium adult male worm	Schistosoma haematobium adult worm	
OPL:0000233	Schistosoma haematobium adult worm	Schistosoma haematobium worm	
OPL:0000079	Schistosoma haematobium cercaria	Schistosoma haematobium	
OPL:0000200	Schistosoma haematobium egg	Schistosoma haematobium	
OPL:0000012	Schistosoma haematobium miracidium	Schistosoma haematobium	
OPL:0000144	Schistosoma haematobium mother sporocyst	Schistosoma haematobium sporocyst	
OPL:0000178	Schistosoma haematobium schistosomulum	Schistosoma haematobium	
OPL:0000166	Schistosoma haematobium sporocyst	Schistosoma haematobium	
OPL:0000037	Schistosoma haematobium worm	Schistosoma haematobium	
OPL:0000238	Schistosoma japonicum adult female worm	Schistosoma japonicum adult worm	
OPL:0000229	Schistosoma japonicum adult male worm	Schistosoma japonicum adult worm	
OPL:0000226	Schistosoma japonicum adult worm	Schistosoma japonicum worm	
OPL:0000043	Schistosoma japonicum cercaria	Schistosoma japonicum	
OPL:0000052	Schistosoma japonicum egg	Schistosoma japonicum	
OPL:0000179	Schistosoma japonicum miracidium	Schistosoma japonicum	
OPL:0000145	Schistosoma japonicum mother sporocyst	Schistosoma japonicum sporocyst	
OPL:0000077	Schistosoma japonicum schistosomulum	Schistosoma japonicum	
OPL:0000094	Schistosoma japonicum sporocyst	Schistosoma japonicum	
OPL:0000126	Schistosoma japonicum worm	Schistosoma japonicum	
OPL:0000231	Schistosoma mansoni adult female worm	Schistosoma mansoni adult worm	
OPL:0000240	Schistosoma mansoni adult male worm	Schistosoma mansoni adult worm	
OPL:0000227	Schistosoma mansoni adult worm	Schistosoma mansoni worm	
OPL:0000168	Schistosoma mansoni cercaria	Schistosoma mansoni	
OPL:0000105	Schistosoma mansoni egg	Schistosoma mansoni	
OPL:0000208	Schistosoma mansoni miracidium	Schistosoma mansoni	
OPL:0000196	Schistosoma mansoni mother sporocyst	Schistosoma mansoni sporocyst	
OPL:0000038	Schistosoma mansoni schistosomulum	Schistosoma mansoni	
OPL:0000147	Schistosoma mansoni sporocyst	Schistosoma mansoni	
OPL:0000128	Schistosoma mansoni worm	Schistosoma mansoni	
OPL:0000326	Plasmodium vivax ookinete	Plasmodium vivax	Anopheles midgut
OPL:0000327	Plasmodium vivax sporozoite	Plasmodium vivax	Anopheles salivary gland|Homo sapiens blood|Homo sapiens hepatocyte
OPL:0000328	Plasmodium vivax merozoite	Plasmodium vivax	Homo sapiens erythrocyte
OPL:0000329	Plasmodium vivax gametocyte	Plasmodium vivax	Anopheles midgut|Homo sapiens erythrocyte
OPL:0000330	Plasmodium berghei sporazoite	Plasmodium berghei	Anopheles salivary gland|Homo sapiens blood|Homo sapiens hepatocyte
OPL:0000331	Plasmodium berghei merozoite	Plasmodium berghei	Homo sapiens erythrocyte
OPL:0000332	Neospora caninum tachyzoite	Neospora caninum	Canis
OPL:0000333	Eimeria maxima gametocyte	Eimeria maxima	Gallus gallus erythrocyte
OPL:0000334	Eimeria tenella sprozoite	Eimeria tenella	Gallus gallus intestine
OPL:0000335	Eimeria tenella oocyst	Eimeria tenella	Gallus gallus midgut
OPL:0000336	Sarcocystis neurona merozoite	Sarcocystis neurona	Canis lupus familiaris erythrocyte
OPL:0000337	Sarcocystis neurona sporozoite	Sarcocystis neurona	Mammalia muscle tissue
OPL:0000338	Toxoplasma gondii tachyzoite	Toxoplasma gondii	Mammalia
OPL:0000339	Toxoplasma gondii bradyzoite	Toxoplasma gondii	Triatominae
OPL:0000340	Toxoplasma gondii oocyst	Toxoplasma gondii	Triatominae midgut
OPL:0000341	Leishmania amazonensis promastigote	Leishmania amazonensis	Mammalia macrophage|Phlebotominae midgut|Phlebotominae proboscis
OPL:0000342	Leishmania amazonensis amastigote	Leishmania amazonensis	Mammalia macrophage
OPL:0000343	Leishmania donovani promastigote	Leishmania donovani	Homo sapiens macrophage|Phlebotominae midgut|Phlebotominae proboscis
OPL:0000344	Leishmania donovani amastigote	Leishmania donovani	Homo sapiens macrophage
OPL:0000345	Leishmania infantum promastigote	Leishmania infantum	Mammalia macrophage|Phlebotominae midgut|Phlebotominae proboscis
OPL:0000346	Leishmania infantum amastigote	Leishmania infantum	Mammalia macrophage
OPL:0000384	Plasmodium yoelii ookinete	Plasmodium yoelii	Anopheles midgut
OPL:0000385	Plasmodium yoelii sporozoite	Plasmodium yoelii	
OPL:0000386	Plasmodium yoelii merozoite	Plasmodium yoelii	Primates erythrocyte
OPL:0000387	Plasmodium yoelii gametocyte	Plasmodium yoelii	Primates erythrocyte
OPL:0000388	Plasmodium chabaudi ookinete	Plasmodium chabaudi	Anopheles midgut
OPL:0000389	Plasmodium chabaudi sporozoite	Plasmodium chabaudi	
OPL:0000390	Plasmodium chabaudi merozoite	Plasmodium chabaudi	Primates erythrocyte
OPL:0000391	Plasmodium chabaudi gametocyte	Plasmodium chabaudi	Primates erythrocyte
OPL:0000392	Plasmodium knowlesi ookinete	Plasmodium knowlesi	Anopheles midgut
OPL:0000393	Plasmodium knowlesi sporozoite	Plasmodium knowlesi	
OPL:0000394	Plasmodium knowlesi merozoite	Plasmodium knowlesi	Primates erythrocyte
OPL:0000395	Plasmodium knowlesi gametocyte	Plasmodium knowlesi	Primates erythrocyte
OPL:0000396	Eimeria acervulina merozoite	Eimeria acervulina	Gallus gallus erythrocyte
OPL:0000397	Cryptosporidium parvum oocyst	Cryptosporidium parvum	
OPL:0000398	Cryptosporidium parvum sporozoite	Cryptosporidium parvum	
