Ontology ID	Entity type	LABEL	Parent	alternative term	definition	definition source	term editor	term tracker item	ontology term requester	editor note	database_cross_reference
ID	TYPE	A rdfs:label		A alternative term SPLIT=|	A definition SPLIT=|	A definition source SPLIT=|	A term editor SPLIT=|	A term tracker item	A ontology term requester	A editor note SPLIT=|	A http://www.geneontology.org/formats/oboInOwl#hasDbXref
OPL:0000002	class	Leishmania major metacyclic promastigote	Leishmania major promastigote	L. major metacyclic promastigote	A Leishmania major promastigote that undergoes a second developmental transition yielding the metacyclic promastigote. This form of parasite is infective to its mammalian host.	PMID:11748963	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000004	class	Triatominae hindgut	hindgut		A hindgut that is a part of or originated from a Triatominae bug.		Priti Parikh				
OPL:0000005	class	Homo sapiens liver	liver	human liver	A liver that is a part of or originated from a human (Homo sapiens).		Priti Parikh				FMA:7197
OPL:0000006	class	metacyclic promastigote stage	promastigote stage		A promastigote stage of some kinetoplastids.	PMID:13129524	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000007	class	Plasmodium falciparum exflagellated microgametocyte stage	exflagellated microgametocyte stage	P. falciparum exflagellated microgametocyte stage	An exflagellated microgametocyte stage in the lifecycle of Plasmodium falciparum that occurs in the midgut of a mosquito vector.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000008	class	Schistosoma haematobium sporocyst stage	sporocyst stage	S. haematobium sporocyst stage	A sporocyst stage in the Schistosoma haematobium lifecycle that occurs within the snail intermediate host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000009	class	Schistosoma japonicum cercaria stage	cercaria stage	S. japonicum cercaria stage	A cercaria stage in the lifecycle of Schistosoma japonicum that occurs in a freshwater snail and in fresh water.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000010	class	Plasmodium falciparum microgametocyte stage	microgametocyte stage	P. falciparum microgametocyte stage	A microgametocyte stage in the Plasmodium falciparum lifecycle that occurs either in the bloodstream of a human host or the midgut of a mosquito vector.		Chris Stoeckert|Jie Zheng|P. Parkh|S. Khan.|C. Janse				
OPL:0000011	class	Schistosoma haematobium 3 hour schistosomulum	Schistosoma haematobium schistosomulum	S. haematobium 3 hour schistosomulum	"A Schistosoma haematobium schistosomulum in a migratory larval form that is found within blood vessels of mammal, as definitive host, 3 hours post-infection."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000012	class	Schistosoma haematobium miracidium	Schistosoma haematobium	S. haematobium miracidium	A Schistosoma haematobium in a free-living motile form that is covered with cilia and develops in the snail intermediate host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000014	class	Schistosoma mansoni 3 day schistosomulum stage	3 day schistosomulum stage	S. mansoni 3 day schistosomulum stage	A 3 days schistosomulum stage of Schistosoma mansoni that occurs in the definitive host 3 days post-infection.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000015	class	Phlebotominae proboscis	proboscis		A proboscis that is a part of or originated from a sand fly of genus Phlebotominae.		Priti Parikh				
OPL:0000016	class	Leishmania major promastigote	Leishmania major	L. major promastigote	"A Leishmania major that is extracellular and motile form with an anterior flagellum. It grows and divides by longitudinal binary fission in the insect vector; i.e., sandfly."	http://dna.kdna.ucla.edu/parasite_course-old/leish_files/introduction1.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000017	class	3 hour schistosomulum stage	schistomulum stage		A schistosomulum stage that occurs in 3 hours after infection of the mammalian host.	PMID:19885392	Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000018	class	miracidium stage	parasite lifecycle stage		"A parasite lifecycle stage of Trematodes where the parasite is in free-living motile form, covered with cilia and settles in the mollusc to become a sporocyst."	Wikipedia: Trematode lifecycle stages	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000019	class	Homo sapiens cerebrospinal fluid	cerebrospinal fluid	human CSF|human cerebral spinal fluid|human cerebrospinal fluid	Cerebrospinal fluid that is a part of or originated from a human (Homo sapiens).		Priti Parikh				FMA:20935
OPL:0000020	class	Schistosoma japonicum 3 day schistosomulum	Schistosoma japonicum schistosomulum	S. japonicum 3 day schistosomulum	"A Schistosoma japonicum schistosomulum in a migratory larval form that is found within blood vessels of the mammal, as definitive host, 3 days post-infection."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000021	class	Schistosoma japonicum 3 hour schistosomulum	Schistosoma japonicum schistosomulum	S. japonicum 3 hour schistosomulum	"A Schistosoma japonicum schistosomulum in a migratory larval form that is found within blood vessels of the mammal, as definitive host, 3 weeks post-infection."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000022	class	bloodstream trypomastigote stage	trypomastigote stage		A trypomastigote stage where trypmastigote form of parasites are found in mammalian host blood stream.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000023	class	Schistosoma japonicum miracidium stage	miracidium stage	S. japonicum miracidium stage	A miracidium stage in the Schistosoma japonicum lifecycle that occurs in the intermediate snail host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000024	class	Schistosoma japonicum daughter sporocyst stage	daughter sporocyst stage	S. japonicum daughter sporocyst stage	A daughter sporocyst stage of Schistosoma japonicum that occurs in the snail intermediate host.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000025	class	Schistosoma mansoni 24 hour schistosomulum	Schistosoma mansoni schistosomulum	S. mansoni 24hour schistosomulum	"A Schistosoma mansoni schistosomulum in a migratory larval formi that is found within blood vessels of the definitive host, mammal, 24 hours post-infection."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000026	class	microgamete stage	gamete stage		A gamete stage in apicomplexan parasites when exflagellated microgametocyte divides into microgamete.		Chris Stoeckert|Jie Zheng|Matt Berriman				
OPL:0000027	class	Homo sapiens skin	skin of body	human skin	A skin that is a part of or originated from a human (Homo sapiens) body.		Priti Parikh				FMA:7163
OPL:0000028	class	macrogametocyte stage	gametocyte stage		A gametocyte stage where a cell differentiates into a female sexual form called macrogametocyte.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000029	class	Schistosoma haematobium 24 hour schistosomulum	Schistosoma haematobium schistosomulum	S. haematobium 24 hour schistosomulum	"A Schistosoma haematobium schistosomulum in a migratory larval form that is found within blood vessels of mammal, as definitive host, 24 hours post-infection."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000030	class	Schistosoma japonicum daughter sporocyst	Schistosoma japonicum sporocyst	S. japonicum daughter sporocyst	A Schistosoma japonicum sporocyst that develops into cercariae.		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000031	class	Trypanosoma brucei procyclic trypomastigote	Trypanosoma brucei trypomastigote	T. brucei procyclic trypomastigote	A Trypanosoma brucei trypomastigote that is a dividing form of Trypanosoma brucei found in the midgut of an insect vector.		Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000032	class	Anopheles midgut	midgut		A midgut that is a part of or originated from an Anopheles mosquito.		Jie Zheng				
OPL:0000033	class	trypomastigote stage	parasite lifecycle stage		"A parasite lifecycle stage of trypanosomes. In trypomastigote stage, the kinetoplast is near the posterior end of the body, and the flagellum lies attached to the cell body for most of its length by an undulating membrane."	Wikipedia: Trypanosomatid	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000034	class	Trypanosoma brucei metacyclic trypomastigote	Trypanosoma brucei trypomastigote	T. brucei metacyclic trypomastigote	A Trypanosoma brucei trypomastigote that is a non-dividing form infectious for the mammal host. It is found in the salivary gland of an insect vector or blood of a mammal host.	http://dna.kdna.ucla.edu/parasite_course-old/african%20tryps%20new_files/subchapters/Life%20cycle.htm	Chris Stoeckert|Jie Zheng|Priti Parikh				
OPL:0000035	class	Plasmodium falciparum erythrocytic schizont stage	erythrocytic schizont stage	P. falciparum erythorcytic schizont stage	An erythrocytic schizont stage in the Plasmodium falciparum lifecycle that occurs in the infected erythrocytes of a human host.		C. Janse|Chris Stoeckert|Jie Zheng|Priti Parkh|S. Khan			"updated according to OPL terms Plasmodium final excel file from C. Janse, S. Khan"	
OPL:0000036	class	merozoite stage	parasite lifecycle stage		"A parasite lifecycle stage of apicomplexan species where a daughter cell, called merozoite is produced from schizont through schizogony."	http://www.biology.ualberta.ca/parasites/parpub/text/text/glossarM.htm	Chris Stoeckert|Jie Zheng|Priti Parikh			adjusted to be more general	
OPL:0000037	class	Schistosoma haematobium worm	Schistosoma haematobium	S. haematobium worm	"A Schistosoma haematobium is a mature form of Schistosoma haematobium and capable of sexual reproduction, which lives in the pelvic blood vessels of the vesicle plexis of the mammal host."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000038	class	Schistosoma mansoni schistosomulum	Schistosoma mansoni	S. mansoni schistosomulum	"A Schistosoma mansoni in a migratory larval form that is found within blood vessels of the definitive host, mammal, and develops into the worm."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
OPL:0000039	class	Schistosoma japonicum 6 day schistosomulum	Schistosoma japonicum schistosomulum	S. japonicum 6 day schistosomulum	"A Schistosoma japonicum schistosomulum in a migratory larval form that is found within blood vessels of the mammal, as definitive host, 6 days post-infection."		Anna Protasio|Chris Stoeckert|Flora Logan|Jie Zheng				
